id;start_date;end_date;language
1;2020-07-13T16:20:51;2020-07-13T14:11:06;SPANISH
2;2020-07-12T21:11:02;2020-07-13T16:15:27;SPANISH
3;2020-07-13T12:06:21;2020-07-12T22:40:30;FRENCH
4;2020-07-13T03:23:52;2020-07-13T14:55:18;FRENCH
5;2020-07-13T12:54:10;2020-07-13T17:41:09;FRENCH
6;2020-07-13T06:46:31;2020-07-13T18:54:45;FRENCH
7;2020-07-13T08:31:51;2020-07-13T02:22:42;FRENCH
8;2020-07-13T07:28:04;2020-07-13T17:44:12;SPANISH
9;2020-07-13T06:09:13;2020-07-13T02:50:36;SPANISH
10;2020-07-13T14:21:17;2020-07-13T00:55:47;SPANISH
